id,type
11851749,living_street
11851750,living_street
11851750,residential
11851750,living_street
11851751,living_street
11851752,living_street
11851753,living_street
11851754,living_street
11851755,living_street
11851755,tertiary
11851755,living_street
11851756,living_street
11851757,living_street
11851758,living_street
11851759,living_street
11851759,residential
11851759,living_street
11851759,residential
11851760,residential
11851760,living_street
11851761,living_street
11851761,residential
11851761,living_street
11851762,living_street
11851763,living_street
11851764,living_street
11851764,residential
11851764,living_street
11851764,residential
11851765,residential
11851765,living_street
11851765,residential
11851765,living_street
11851766,living_street
11851766,residential
11851766,living_street
11851766,residential
11851766,living_street
11851767,living_street
11851767,residential
11851767,living_street
11864982,living_street
11864982,service
11864982,residential
11864982,service
11864982,tertiary
11864983,tertiary
11864983,service
11864983,tertiary
11864983,service
11864983,tertiary
11864984,tertiary
11864984,service
11864984,tertiary
11864984,residential
11864984,service
11864984,tertiary
11864984,residential
11864985,residential
11864985,service
11864985,tertiary
11864986,tertiary
11865343,tertiary
11865344,tertiary
11865344,residential
11865345,residential
11865346,residential
11865346,tertiary
11865346,residential
11865346,tertiary
11865346,residential
11865347,residential
11865347,tertiary
11865347,residential
11865348,residential
11865348,tertiary
11865349,tertiary
11865349,residential
11865349,tertiary
11865349,residential
11865350,residential
11865350,tertiary
11865351,tertiary
11865351,residential
11865351,tertiary
11865352,tertiary
11865352,residential
11865352,tertiary
11865352,residential
11865353,residential
11865354,residential
11865354,tertiary
11865355,tertiary
11874620,tertiary
11874633,tertiary
11874633,living_street
11874634,living_street
11874634,residential
24959492,residential
24973556,residential
25074897,residential
28642371,residential
28642372,residential
28643218,residential
28643313,residential
28643391,residential
28643392,residential
28643427,residential
31662613,residential
31662804,residential
31663182,residential
32395944,residential
32395944,tertiary
32395945,tertiary
32395945,residential
32395945,tertiary
32395945,residential
32423096,residential
32423099,residential
32423099,tertiary
32423101,tertiary
35761627,tertiary
35761627,path
35762067,path
35762068,path
35762212,path
35839798,path
35839799,path
35839800,path
35839801,path
35839802,path
35839803,path
35839804,path
35839805,path
35839806,path
35839807,path
35839808,path
35839809,path
35839810,path
35839811,path
35839812,path
35839949,path
35839950,path
35839951,path
35839952,path
35839953,path
35839954,path
35839955,path
35839956,path
35839957,path
35839958,path
35839959,path
35839960,path
35840006,path
35840007,path
35840008,path
35840009,path
35840010,path
35840011,path
35840012,path
35840013,path
35840014,path
35840015,path
35840623,path
35840624,path
35840625,path
35840733,path
35840734,path
35840735,path
35840736,path
35840737,path
35840738,path
35840739,path
35840740,path
35840741,path
35840742,path
35840743,path
35840744,path
35840745,path
35840746,path
35840747,path
35840905,path
35840906,path
35840907,path
35840908,path
35840909,path
35840910,path
35840911,path
35840950,path
35840951,path
35840952,path
35840953,path
35840954,path
35840955,path
35840956,path
35840957,path
35840958,path
35840959,path
35840960,path
35840961,path
35840962,path
35841090,path
35841091,path
35841092,path
35841093,path
35841094,path
35841095,path
35841096,path
35841097,path
35841098,path
35841099,path
35841100,path
35841101,path
35841102,path
35841103,path
35841104,path
35841105,path
35841106,path
35841107,path
35841108,path
35842755,path
35842756,path
35842758,path
35842759,path
35842760,path
35842761,path
35842762,path
35842763,path
35842764,path
35842767,path
35842771,path
35843132,path
35843133,path
35843134,path
35843481,path
35843482,path
35843483,path
35843957,path
35843957,track
35844047,track
35844048,track
35844313,track
35844314,track
35844315,track
35844316,track
35844317,track
35844318,track
35844319,track
35844320,track
35844321,track
35844322,track
35844323,track
35844385,track
35849616,track
35849617,track
35849618,track
35849619,track
35849620,track
35849621,track
35849622,track
35849623,track
35849624,track
35849625,track
35849626,track
35849627,track
35849628,track
35849629,track
35849630,track
35849631,track
35849632,track
35849633,track
35849634,track
35849893,track
35849894,track
35849895,track
35849896,track
35849897,track
35849898,track
35849899,track
35849900,track
35849901,track
35849902,track
35849903,track
35849904,track
35849905,track
35849906,track
35849907,track
35850939,track
35850941,track
35850942,track
35850943,track
35850944,track
35850945,track
35850946,track
35850947,track
35850948,track
35850949,track
35850950,track
35850951,track
35850952,track
35850953,track
35850954,track
35850955,track
35850956,track
35850957,track
35850958,track
35850959,track
35850960,track
35850961,track
35850962,track
35850963,track
35851712,track
35851713,track
35851714,track
35851715,track
35851716,track
35851717,track
35851718,track
35851719,track
36135913,track
36135914,track
36135915,track
36135916,track
36136637,track
36136638,track
36136639,track
36136640,track
36136695,track
36136696,track
36136697,track
36136698,track
36136699,track
36136700,track
36136701,track
36137516,track
36137517,track
36137518,track
36137519,track
36137520,track
36137521,track
36137522,track
37268047,track
37283601,track
37319861,track
37371292,track
37371293,track
37371959,track
37372178,track
37372185,track
37377413,track
37385615,track
37405314,track
37499525,track
37499526,track
37503633,track
38800842,track
38801135,track
38801135,residential
40797628,residential
40797628,tertiary
41004849,tertiary
41005542,tertiary
41006035,tertiary
41008839,tertiary
41009219,tertiary
41010220,tertiary
41010724,tertiary
41011079,tertiary
44076879,tertiary
44076880,tertiary
44076881,tertiary
44076882,tertiary
44076883,tertiary
44400265,tertiary
44400265,residential
44406913,residential
44406913,tertiary
44406982,tertiary
44700942,tertiary
44701266,tertiary
44923470,tertiary
44923594,tertiary
44923659,tertiary
44923665,tertiary
44923800,tertiary
44923933,tertiary
44923944,tertiary
44924041,tertiary
44924055,tertiary
44924129,tertiary
44924183,tertiary
44924249,tertiary
44924287,tertiary
44937868,tertiary
44937868,residential
44937903,residential
44938045,residential
44938315,residential
44938762,residential
44939193,residential
44939257,residential
44939540,residential
44939588,residential
44939949,residential
44940516,residential
48665108,residential
48665141,residential
48665303,residential
48665331,residential
51746349,residential
51746350,residential
51746351,residential
51746352,residential
51746534,residential
51746711,residential
51746712,residential
51746713,residential
51746848,residential
51746849,residential
51746849,tertiary
51746849,residential
51746849,tertiary
51746850,tertiary
63762409,tertiary
63762409,trunk
65614714,trunk
65614722,trunk
65614760,trunk
65614869,trunk
66241763,trunk
68578194,trunk
68578194,residential
68578194,unclassified
