id,lat,long
,,
25258471,23.538263,87.2466
25258678,23.524344,87.2631
25258678,23.520613,87.2686
25258679,23.510095,87.2889
25258679,23.507458,87.2940
30431729,23.538279,87.2955
30431731,23.536679,87.2945
30498557,23.501291,87.3045
30498557,23.500978,87.3060
30519519,23.548167,87.3076
30538208,23.564089,87.2815
30544916,23.550459,87.2686
31033546,23.535821,87.2991
72060995,23.605669,87.1121
74656669,23.480948,87.3491
74656670,23.480946,87.3701
74656684,23.482850,87.3414
74656686,23.481458,87.3450
79414831,23.557146,87.2546
79414832,23.552360,87.2311
79414833,23.563580,87.2323
79414833,23.527522,87.2606
79414835,23.531989,87.2659
79799772,23.506612,87.2446
79799772,23.547501,87.1847
79799772,23.563883,87.1918
79799772,23.484509,87.2728
79799773,23.527810,87.2131
79799774,23.552310,87.1674
79799774,23.558773,87.2064
79799774,23.504056,87.2711
79799774,23.536528,87.2001
79799775,23.565385,87.1716
79799775,23.523901,87.2454
79799775,23.551709,87.2164
79799776,23.493506,87.2874
79799776,23.493982,87.2620
79799777,23.517587,87.2518
79799777,23.472071,87.2936
79799777,23.484616,87.2998
79799778,23.501500,87.2470
79799778,23.544044,87.1900
79799778,23.566137,87.1869
79799778,23.566137,87.1641
79799778,23.481050,87.2779
79799779,23.524653,87.2190
79799779,23.511273,87.2377
79799779,23.551859,87.1744
79799780,23.559374,87.2016
79799780,23.507664,87.2661
79799780,23.534424,87.2029
79799781,23.528712,87.2421
79799781,23.554114,87.2144
79799782,23.494784,87.2849
79799783,23.491576,87.2651
79799783,23.566437,87.1823
79799783,23.518339,87.2502
79799784,23.473916,87.2951
79799784,23.501461,87.3063
79799784,23.487817,87.2964
79799785,23.498192,87.2520
79799785,23.511423,87.2618
79799786,23.476539,87.2859
79799786,23.520744,87.2247
79799786,23.508867,87.2418
79799787,23.550356,87.1798
79799787,23.561178,87.1956
79799787,23.487667,87.2680
79799787,23.530966,87.2077
79799788,23.537711,87.2320
79799788,23.553663,87.1621
79799789,23.556969,87.2115
79799789,23.500598,87.2759
79799790,23.541789,87.1936
79799790,23.565536,87.1769
79799791,23.520894,87.2479
79799791,23.490190,87.2934
79799792,23.495636,87.2569
79799792,23.513979,87.2590
79799793,23.474133,87.2902
79799793,23.517286,87.2297
118435851,23.544702,87.2788
118435851,23.541111,87.2856
118435856,23.526806,87.3116
118435857,23.527412,87.3105
118435863,23.539556,87.2882
118435864,23.547289,87.2743
118435869,23.553902,87.2633
118435869,23.530761,87.3045
118435878,23.529536,87.3064
118435880,23.548649,87.2719
118435887,23.550539,87.2687
118435888,23.548552,87.2718
118435902,23.554016,87.2634
118435904,23.547189,87.2743
132729221,23.502810,87.2838
132729222,23.503008,87.2844
132729222,23.504419,87.2861
132729225,23.503237,87.2797
132729225,23.504297,87.2825
132729225,23.503324,87.2886
132729225,23.503479,87.2790
132729227,23.503576,87.2887
132729228,23.503417,87.2852
132729229,23.504294,87.2779
132729229,23.504343,87.2874
132729230,23.504314,87.2862
132729230,23.504576,87.2870
132729230,23.504551,87.2866
132729231,23.504647,87.2873
132729233,23.505204,87.2814
132729235,23.505490,87.2806
132729235,23.505649,87.2733
132729236,23.506734,87.2809
132729236,23.506734,87.2902
132729238,23.506992,87.2749
132729238,23.508029,87.2715
132729239,23.508127,87.2736
132729240,23.508486,87.2733
132729240,23.508767,87.2732
132729241,23.509030,87.2904
132729241,23.509565,87.2731
132729241,23.510393,87.2723
132729241,23.510162,87.2903
132729257,23.511532,87.2734
132729259,23.511232,87.2732
132729259,23.512296,87.2868
132729259,23.512328,87.2733
132729260,23.512997,87.2730
132729260,23.512794,87.2919
132729262,23.514170,87.2704
132729262,23.514433,87.2718
132729263,23.515106,87.2715
132729263,23.514916,87.2887
132729264,23.516664,87.2700
132729264,23.516892,87.2701
132729267,23.516218,87.2891
132729268,23.520648,87.2680
132729268,23.520871,87.2673
132729269,23.520186,87.2715
132729269,23.521084,87.2671
132729269,23.520116,87.2709
132729270,23.521663,87.2692
132729270,23.521938,87.2689
132729272,23.522386,87.2651
132729273,23.523116,87.2638
132729273,23.523269,87.2870
132729274,23.524260,87.2821
132729274,23.524665,87.2619
132729274,23.524785,87.2617
132729276,23.525197,87.2617
132729276,23.525132,87.2663
132729277,23.525361,87.2615
132729277,23.525475,87.2611
132729279,23.526062,87.2654
132729279,23.525710,87.2615
132729283,23.526601,87.2648
132729286,23.527653,87.2637
132729289,23.528235,87.2780
132729295,23.531175,87.2749
132729297,23.532643,87.2574
132729298,23.532455,87.2702
132729300,23.534099,87.2828
132729300,23.534176,87.2836
132729301,23.534206,87.2819
132729301,23.534307,87.2556
132729301,23.534409,87.2845
132729301,23.534817,87.2851
132729302,23.535195,87.2699
132729302,23.535544,87.2708
132729304,23.535602,87.2857
132729314,23.535709,87.2717
132729314,23.535728,87.2723
132729315,23.539770,87.2288
132729315,23.540360,87.2498
132729317,23.541361,87.2488
132729318,23.546012,87.2437
132729318,23.546644,87.2432
132729319,23.553990,87.2394
132729319,23.554975,87.2389
132729319,23.555930,87.2385
132730653,23.492938,87.3217
132730653,23.493233,87.3219
132730654,23.493577,87.3200
132730654,23.493831,87.3180
132730655,23.494254,87.3204
132730655,23.494362,87.3170
132730655,23.494382,87.3183
132730655,23.494724,87.3196
132730655,23.494968,87.3173
132730655,23.495224,87.3169
132730655,23.495425,87.3165
132730655,23.496103,87.3169
132730655,23.496136,87.3154
132730656,23.496541,87.3157
132730656,23.497163,87.3135
132730656,23.497205,87.3144
132730656,23.497460,87.3137
132730657,23.504324,87.3016
132730657,23.504393,87.3022
132730657,23.504388,87.3011
132730658,23.504511,87.3026
132730658,23.504799,87.3001
132730658,23.504676,87.3029
132730658,23.504882,87.3031
132730658,23.505240,87.3035
132730658,23.505626,87.3037
132730658,23.505937,87.3038
132730659,23.506306,87.3038
132730659,23.506738,87.3038
132730659,23.507209,87.3037
132730659,23.507577,87.3035
132730659,23.507574,87.2946
132730659,23.507718,87.2956
132730660,23.507753,87.2952
132730660,23.507759,87.2960
132730660,23.507843,87.2964
132730660,23.507846,87.2949
132730660,23.507758,87.2943
132730660,23.507965,87.2967
132730661,23.507977,87.2946
132730661,23.508031,87.3031
132730661,23.507924,87.2938
132730661,23.508163,87.2971
132730661,23.508204,87.2940
132730662,23.508284,87.2937
132730662,23.508336,87.2934
132730662,23.508398,87.2974
132730662,23.508395,87.2929
132730662,23.508605,87.2922
132730662,23.508686,87.2977
132730662,23.508991,87.2979
132730662,23.509069,87.3023
132730663,23.509261,87.2981
132730663,23.509660,87.2982
132730663,23.509665,87.3019
132730663,23.509965,87.2983
132730663,23.510066,87.3018
132730663,23.510438,87.2984
132730663,23.510457,87.3018
132730663,23.513222,87.2986
132730664,23.513829,87.2987
132730664,23.514505,87.2990
132730664,23.516053,87.2998
132730664,23.516071,87.2999
132730664,23.516611,87.3000
132730664,23.516629,87.3001
132730664,23.517143,87.3000
132730664,23.517187,87.3002
132730665,23.518310,87.3016
132730665,23.521046,87.3000
132730665,23.521572,87.3001
132730665,23.521898,87.2999
132730665,23.522067,87.3002
132730665,23.522387,87.2999
132730666,23.522487,87.3005
132730666,23.522832,87.3009
132730666,23.522913,87.3000
132730666,23.523164,87.3013
132730666,23.523214,87.3042
132730666,23.523270,87.3049
132730666,23.523314,87.3035
132730666,23.523352,87.3018
132730667,23.523395,87.3053
132730667,23.523427,87.3029
132730667,23.523452,87.3024
132730667,23.523558,87.3003
132730667,23.523709,87.3059
132730667,23.524085,87.3063
132730667,23.524579,87.3066
132730668,23.524930,87.3068
132730668,23.525275,87.3068
132730668,23.525926,87.3068
132730668,23.526415,87.3066
132730668,23.526459,87.3022
132730668,23.526860,87.3025
132730668,23.526885,87.3063
132730669,23.527154,87.3028
132730669,23.527229,87.3059
132730669,23.527442,87.3032
132730669,23.527518,87.3054
132730669,23.527618,87.3038
132730669,23.527680,87.3049
132730669,23.527712,87.3044
132730669,23.527855,87.2634
132756870,23.604983,87.1135
133091787,23.535460,87.3455
133091787,23.535966,87.3463
133091788,23.537891,87.3459
133091788,23.539136,87.3468
133091789,23.540237,87.3462
133091789,23.542349,87.3472
133091789,23.542805,87.3466
133091790,23.544710,87.3457
133091790,23.545629,87.3448
133091791,23.546687,87.3445
133091792,23.548319,87.3431
133091792,23.548475,87.3434
133091792,23.549475,87.2702
133091792,23.549551,87.2703
133091793,23.549674,87.2699
133091793,23.549750,87.2699
133091793,23.549826,87.3406
133091793,23.550851,87.2708
133091794,23.551250,87.2711
133091794,23.551342,87.3381
133091794,23.551456,87.3384
133091794,23.551816,87.2713
133091794,23.552503,87.2716
133091795,23.552772,87.3358
133091795,23.553013,87.3359
133091795,23.553014,87.2720
133091795,23.553857,87.2725
133091795,23.554195,87.3335
133091796,23.554584,87.3334
133091796,23.555105,87.2908
133091796,23.555109,87.2908
133091796,23.555113,87.2909
133091796,23.555134,87.2909
