id,type
11839184,tertiary
11839184,living_street
11839184,residential
11839184,living_street
11839185,living_street
11839185,residential
11839185,tertiary
11839185,living_street
11839185,residential
11839186,residential
11839186,living_street
11839186,residential
11839186,tertiary
11839187,tertiary
11839187,residential
11839187,living_street
11839187,residential
11839187,living_street
11839187,residential
11839187,living_street
11839188,living_street
11839188,tertiary
11839188,living_street
11839188,residential
11839188,tertiary
11839188,residential
11839188,living_street
11839188,residential
11839188,living_street
11839189,living_street
11839190,living_street
11839191,living_street
11839192,living_street
11839192,tertiary
11839192,living_street
11839192,residential
11839192,living_street
11839193,living_street
11839194,living_street
11839194,residential
11839194,living_street
11839195,living_street
11839195,residential
11839195,living_street
11839195,residential
11839195,living_street
11839195,tertiary
11839196,tertiary
11839196,living_street
11839196,tertiary
11839196,residential
11839196,living_street
11839197,living_street
11839197,tertiary
11839197,living_street
11839198,living_street
11839198,residential
11839199,residential
11839199,living_street
11839199,residential
11839199,living_street
11839199,residential
11839200,residential
11839200,tertiary
11839200,living_street
11839200,residential
11839201,residential
11839202,residential
11839202,living_street
11839202,residential
11839202,living_street
11839203,living_street
11839204,living_street
11839449,living_street
11839449,trunk
11839450,trunk
11839450,tertiary
11839450,living_street
11839451,living_street
11839451,tertiary
11839451,living_street
11839451,tertiary
11839452,tertiary
11839452,living_street
11839453,living_street
11839453,tertiary
11839453,living_street
11839454,living_street
11839454,tertiary
11839454,living_street
11839454,residential
11839455,residential
11839455,living_street
11839455,tertiary
11839455,living_street
11839455,tertiary
11839455,living_street
11839456,living_street
11839456,tertiary
11839456,trunk_link
11839457,trunk_link
11839457,living_street
11839457,tertiary
11839457,living_street
11839457,tertiary
11839457,living_street
11839457,trunk_link
11839458,trunk_link
11839458,living_street
11839458,tertiary
11839458,living_street
11839458,tertiary
11839459,tertiary
11839459,living_street
11839459,tertiary
11839459,residential
11839459,tertiary
11839460,tertiary
11839460,residential
11839460,tertiary
11839460,residential
11848544,residential
11848544,living_street
11848544,residential
11848544,living_street
11848545,living_street
11848546,living_street
11848547,living_street
11848548,living_street
11848549,living_street
11848550,living_street
11848551,living_street
11848552,living_street
11848553,living_street
11848553,tertiary
11848553,living_street
11848554,living_street
11848555,living_street
11848556,living_street
11850690,living_street
11850690,tertiary
11850690,residential
11850690,living_street
11850690,tertiary
11850691,tertiary
11850691,living_street
