id,lat,long
,,
25258470,23.573494,87.1948
25258471,23.538263,87.2466
25306837,23.567068,87.2102
25306837,23.563947,87.2160
25306837,23.562444,87.2180
25306838,23.558164,87.2230
25306838,23.556712,87.2247
25306839,23.556404,87.2251
25306839,23.551813,87.2305
25306839,23.545440,87.2381
25306840,23.542652,87.2414
30538208,23.564089,87.2815
30544896,23.561210,87.2533
30544916,23.550459,87.2686
30544916,23.558492,87.2570
30545499,23.560996,87.2539
30545500,23.561588,87.2531
31846148,23.561564,87.2529
31846148,23.560800,87.2540
53406810,23.648923,87.2520
58202228,23.637948,86.8941
58202228,23.627243,86.9111
58202229,23.631257,86.9495
58202229,23.625905,86.9642
58202229,23.632150,87.0123
58202229,23.573722,87.1194
58202229,23.553205,87.2090
58202229,23.495224,87.2746
58202229,23.406621,87.4361
72060979,23.579099,87.1815
72060995,23.605669,87.1121
74656670,23.480946,87.3701
79414831,23.727044,87.2816
79414831,23.557146,87.2546
79414832,23.654532,87.2397
79414832,23.640256,87.2026
79414832,23.552360,87.2311
79414833,23.563580,87.2323
79414833,23.527522,87.2606
79414833,23.648880,87.2120
79414833,23.594148,87.2248
79414833,23.716188,87.2787
79414834,23.662336,87.2511
79414834,23.582146,87.2250
79414834,23.594161,87.2241
79414834,23.712981,87.2777
79414834,23.630037,87.1931
79414835,23.531989,87.2659
79414835,23.599907,87.2295
79414836,23.599907,87.2184
79414836,23.658013,87.2478
79414836,23.590897,87.2211
79414836,23.673961,87.2568
79414836,23.655235,87.2431
79414836,23.634367,87.1965
79414836,23.588255,87.2300
79414837,23.652412,87.2206
79414837,23.646435,87.2092
79414838,23.651265,87.2161
79799772,23.654935,87.2305
79799772,23.506612,87.2446
79799772,23.547501,87.1847
79799772,23.563883,87.1918
79799772,23.484509,87.2728
79799773,23.527810,87.2131
79799773,23.661983,87.2183
79799774,23.552310,87.1674
79799774,23.558773,87.2064
79799774,23.504056,87.2711
79799774,23.536528,87.2001
79799775,23.565385,87.1716
79799775,23.523901,87.2454
79799775,23.551709,87.2164
79799776,23.493506,87.2874
79799776,23.493982,87.2620
79799777,23.517587,87.2518
79799777,23.659186,87.2245
79799777,23.472071,87.2936
79799777,23.484616,87.2998
79799778,23.654388,87.2300
79799778,23.501500,87.2470
79799778,23.544044,87.1900
79799778,23.566137,87.1869
79799778,23.566137,87.1641
79799778,23.481050,87.2779
79799779,23.524653,87.2190
79799779,23.511273,87.2377
79799779,23.551859,87.1744
79799780,23.559374,87.2016
79799780,23.507664,87.2661
79799780,23.534424,87.2029
79799781,23.528712,87.2421
79799781,23.658081,87.2301
79799781,23.554114,87.2144
79799782,23.494784,87.2849
79799783,23.491576,87.2651
79799783,23.566437,87.1823
79799783,23.518339,87.2502
79799784,23.658579,87.2292
79799784,23.473916,87.2951
79799784,23.487817,87.2964
79799785,23.653045,87.2262
79799785,23.498192,87.2520
79799785,23.511423,87.2618
79799786,23.476539,87.2859
79799786,23.520744,87.2247
79799786,23.508867,87.2418
79799787,23.550356,87.1798
79799787,23.561178,87.1956
79799787,23.487667,87.2680
79799787,23.530966,87.2077
79799788,23.537711,87.2320
79799788,23.656408,87.2308
79799788,23.553663,87.1621
79799789,23.556969,87.2115
79799789,23.500598,87.2759
79799790,23.541789,87.1936
79799790,23.565536,87.1769
79799791,23.520894,87.2479
79799791,23.490190,87.2934
79799792,23.495636,87.2569
79799792,23.513979,87.2590
79799792,23.659768,87.2210
79799793,23.474133,87.2902
79799793,23.517286,87.2297
83446274,23.594263,87.1943
83446312,23.585123,87.2190
83446346,23.588466,87.2093
83446403,23.595316,87.1915
83446420,23.583712,87.2223
83446442,23.596607,87.1883
83446458,23.590549,87.2062
83446474,23.592805,87.1978
118435851,23.591622,87.2011
118435851,23.544702,87.2788
118435851,23.541111,87.2856
118435852,23.590003,87.2056
118435856,23.526806,87.3116
118435856,23.582963,87.2239
118435857,23.527412,87.3105
118435858,23.583827,87.2223
118435862,23.560152,87.2550
118435863,23.584378,87.2209
118435863,23.539556,87.2882
118435864,23.547289,87.2743
118435864,23.591723,87.2011
118435869,23.553902,87.2633
118435869,23.530761,87.3045
118435870,23.584491,87.2209
118435877,23.582870,87.2238
118435878,23.529536,87.3064
118435880,23.548649,87.2719
118435881,23.592901,87.1979
118435887,23.550539,87.2687
118435888,23.595817,87.1905
118435888,23.548552,87.2718
118435889,23.585238,87.2190
118435890,23.597286,87.1861
118435893,23.566224,87.2468
118435894,23.573299,87.2370
118435897,23.594808,87.1932
118435902,23.554016,87.2634
118435903,23.596490,87.1883
118435904,23.547189,87.2743
118435907,23.588551,87.2094
118435912,23.582223,87.2251
132729241,23.510162,87.2903
132729259,23.512296,87.2868
132729260,23.512794,87.2919
132729263,23.514916,87.2887
132729267,23.516218,87.2891
132729269,23.520186,87.2715
132729269,23.520116,87.2709
132729270,23.521663,87.2692
132729270,23.521938,87.2689
132729273,23.523269,87.2870
132729274,23.524260,87.2821
132729276,23.525132,87.2663
132729279,23.526062,87.2654
132729283,23.526601,87.2648
132729286,23.527653,87.2637
132729289,23.528235,87.2780
132729295,23.531175,87.2749
132729297,23.532643,87.2574
132729298,23.532455,87.2702
132729301,23.534307,87.2556
132729315,23.539770,87.2288
132729315,23.540360,87.2498
132729317,23.541361,87.2488
132729318,23.546012,87.2437
132729318,23.546644,87.2432
132729319,23.553990,87.2394
132729319,23.554975,87.2389
132729319,23.555930,87.2385
132730669,23.527855,87.2634
132730669,23.528572,87.2628
132730669,23.529857,87.2620
132730670,23.533442,87.2598
132730671,23.556405,87.2479
132730671,23.556707,87.2386
132730671,23.556968,87.2475
132730671,23.557153,87.2386
132730671,23.557212,87.2471
132730672,23.557457,87.2465
132730672,23.557639,87.2388
132730672,23.558109,87.2392
132730672,23.558285,87.2427
132730672,23.558406,87.2399
132730672,23.558445,87.2416
132730672,23.558484,87.2405
132732761,23.589292,87.1729
132732762,23.590061,87.1727
132732763,23.590559,87.1727
132732763,23.591177,87.1727
132732763,23.592754,87.1728
132732764,23.593289,87.1728
132732764,23.594119,87.1729
132732765,23.595002,87.1732
132732765,23.595815,87.1737
132732765,23.596787,87.1742
132732765,23.598779,87.1754
132732765,23.604182,87.1785
132756846,23.653910,87.2336
132756855,23.556830,87.2384
132756855,23.559888,87.2383
132756855,23.560768,87.2382
132756855,23.561286,87.2380
132756855,23.561739,87.2377
132756855,23.562355,87.2369
132756855,23.562788,87.2362
132756856,23.563114,87.2356
132756856,23.563416,87.2346
132756856,23.563906,87.2322
132756856,23.567202,87.2165
132756856,23.567138,87.2163
132756856,23.567374,87.2155
132756856,23.568883,87.2123
132756856,23.570405,87.2095
132756856,23.570791,87.2087
132756856,23.571696,87.2065
132756857,23.571893,87.2060
132756857,23.573052,87.2020
132756857,23.573242,87.2012
132756857,23.573784,87.1977
132756857,23.573965,87.1968
132756857,23.574187,87.1961
132756858,23.575560,87.1928
132756858,23.576860,87.1896
132756858,23.577008,87.1891
132756858,23.577129,87.1886
132756858,23.577315,87.1874
132756859,23.577649,87.1862
132756859,23.577756,87.1859
132756859,23.577973,87.1852
132756859,23.578142,87.1848
132756859,23.578723,87.1836
132756859,23.579300,87.1827
132756860,23.580100,87.1816
132756860,23.580752,87.1807
132756861,23.580919,87.1805
132756863,23.585455,87.1762
132756864,23.586059,87.1757
132756870,23.604983,87.1135
132756871,23.653348,87.2383
132756871,23.653671,87.2283
132756872,23.653972,87.2292
132756872,23.654165,87.2357
132756872,23.654832,87.2418
132756872,23.655820,87.2308
132756872,23.655874,87.2447
132756872,23.656562,87.2458
132756872,23.657096,87.2308
132756872,23.657499,87.2305
132756873,23.658936,87.2276
132756873,23.659228,87.2231
132756873,23.659357,87.2221
132756873,23.660504,87.2200
132756880,23.707588,87.2748
132756936,23.656155,87.2379
132756937,23.657431,87.2364
132756938,23.658578,87.2467
132756938,23.658563,87.2310
132756938,23.658793,87.2319
132756938,23.658898,87.2304
132756939,23.659801,87.2294
132756939,23.660499,87.2463
132756940,23.660514,87.2276
132756940,23.660556,87.2245
132756941,23.661647,87.2465
132756941,23.662676,87.2199
132756941,23.663382,87.2461
132756941,23.663872,87.2191
132756941,23.664639,87.2444
132756942,23.665842,87.2428
132756943,23.666702,87.2441
132756943,23.669307,87.2148
132756943,23.669960,87.2460
132756944,23.672413,87.2129
132756944,23.672901,87.2471
132756944,23.673677,87.2462
132757051,23.674093,87.2449
132757051,23.675246,87.2094
132757051,23.676269,87.2444
132757051,23.677176,87.2080
132757051,23.677961,87.2438
132757051,23.678477,87.2060
132757052,23.678673,87.2433
132757052,23.679482,87.2036
132757053,23.686354,87.2424
132757053,23.687012,87.2429
132757053,23.688194,87.2459
132757053,23.689349,87.2489
132757053,23.690181,87.2496
132757054,23.693176,87.2499
