id,type
2337226,bus_stop
6469058,bus_stop
6469058,track
6469059,track
6527736,track
11792440,track
11794314,track
11794315,track
11794341,track
11794341,tertiary
11796293,tertiary
11796293,secondary
11822801,secondary
11822801,trunk
11822805,trunk
11825245,trunk
11833242,trunk
11833242,tertiary
11833243,tertiary
11833244,tertiary
11833245,tertiary
11833247,tertiary
11833248,tertiary
11833249,tertiary
11833250,tertiary
11833251,tertiary
11833251,living_street
11833252,living_street
11833252,tertiary
11833253,tertiary
11833254,tertiary
11833254,residential
11833254,tertiary
11833255,tertiary
11833256,tertiary
11833256,residential
11833257,residential
11833257,tertiary
11833257,living_street
11833258,living_street
11833259,living_street
11833260,living_street
11833261,living_street
11833262,living_street
11833263,living_street
11833264,living_street
11833265,living_street
11833266,living_street
11833267,living_street
11833268,living_street
11833269,living_street
11833270,living_street
11833271,living_street
11833271,residential
11833271,living_street
11833272,living_street
11833273,living_street
11833274,living_street
11833276,living_street
11833276,residential
11833277,residential
11833277,tertiary
11833278,tertiary
11833278,residential
11833279,residential
11833279,living_street
11833280,living_street
11833280,residential
11833281,residential
11833281,tertiary
11833282,tertiary
11833282,living_street
11833283,living_street
11833283,tertiary
11833284,tertiary
11833284,living_street
11833285,living_street
11833285,residential
11833286,residential
11833286,living_street
11833287,living_street
11833288,living_street
11833289,living_street
11833289,residential
11833289,living_street
11833290,living_street
11833290,residential
11833290,living_street
11833290,residential
11833291,residential
11833291,living_street
11833292,living_street
11833292,residential
11833293,residential
11833293,living_street
11833294,living_street
11833294,tertiary
11833295,tertiary
11833295,living_street
11833296,living_street
11833296,residential
11833297,residential
11833297,living_street
11833298,living_street
11833298,residential
11833298,living_street
11833298,residential
11833299,residential
11833299,living_street
11833300,living_street
11833300,residential
11833301,residential
11833301,living_street
11833302,living_street
11833303,living_street
11833304,living_street
11833304,tertiary
11833304,living_street
11833305,living_street
11833305,residential
11833305,living_street
11833306,living_street
11833306,tertiary
11833307,tertiary
11833307,residential
11833307,living_street
11833308,living_street
11833308,tertiary
11833309,tertiary
11833309,living_street
11833310,living_street
11833310,residential
11833310,living_street
11833311,living_street
11833312,living_street
11833312,residential
11833314,residential
11833314,living_street
11833315,living_street
11833315,residential
11833316,residential
11833316,living_street
11833317,living_street
11833318,living_street
11833318,residential
11833318,tertiary
11833319,tertiary
11833319,living_street
11833319,residential
11833320,residential
11833320,living_street
11833320,residential
11833321,residential
11833321,living_street
11833322,living_street
11833322,residential
11833326,residential
11833328,residential
11833329,residential
11833330,residential
11833624,residential
11833624,living_street
11833625,living_street
11833626,living_street
11833627,living_street
11833628,living_street
11833629,living_street
11833630,living_street
11833631,living_street
11833632,living_street
11833633,living_street
11833634,living_street
11833635,living_street
11833636,living_street
11833637,living_street
11833638,living_street
11833639,living_street
11833640,living_street
11833641,living_street
11833642,living_street
11833643,living_street
11833644,living_street
11833644,residential
11833644,living_street
11835710,living_street
11835711,living_street
11835712,living_street
11835715,living_street
11835716,living_street
11835717,living_street
11835718,living_street
11835720,living_street
11835722,living_street
11835725,living_street
11835726,living_street
11835728,living_street
11835729,living_street
11835735,living_street
11835736,living_street
11835737,living_street
11835740,living_street
11835742,living_street
11835743,living_street
11835744,living_street
11835747,living_street
11835749,living_street
11835750,living_street
11835751,living_street
11835752,living_street
11835753,living_street
11835755,living_street
11835760,living_street
11839450,living_street
11839450,trunk
11850691,trunk
11850691,tertiary
11850694,tertiary
11850695,tertiary
11851751,tertiary
11851751,living_street
18524948,living_street
18524948,tertiary
18524948,residential
18524949,residential
18524949,tertiary
18524949,residential
18524950,residential
18524950,tertiary
18524950,residential
18524950,tertiary
18524950,residential
18524951,residential
18524951,tertiary
18524952,tertiary
18524952,secondary
18524952,tertiary
18524952,residential
18524953,residential
18524953,tertiary
20600923,tertiary
20600956,tertiary
20600956,secondary
23980975,secondary
28642371,secondary
28642371,residential
28642372,residential
28643218,residential
28643313,residential
31143153,residential
31143153,track
31143153,residential
31143154,residential
31143155,residential
34573458,residential
34573459,residential
34573459,path
34573459,residential
34573460,residential
34573460,footway
34573556,footway
34573556,tertiary
34575393,tertiary
